,keyword,corpus,meta,url
6234,False,False,True,True
326,False,True,True,True
997,False,False,False,False
7269,False,False,False,False
2189,True,True,False,True
3725,False,False,False,False
4062,True,True,True,True
5928,False,False,False,False
5178,False,False,False,True
5079,True,False,False,True
931,False,False,True,True
2696,False,False,False,True
1408,True,False,False,False
378,False,False,True,True
4692,False,False,True,True
1257,True,True,False,False
2703,False,True,True,True
6061,True,True,True,True
3405,False,False,False,False
5164,False,False,False,False
5121,False,True,False,True
6929,False,False,False,True
1162,True,True,True,True
3408,False,False,False,False
6218,False,False,False,False
1551,True,False,True,True
4343,False,False,False,True
479,True,False,False,False
4015,True,True,True,True
4239,True,False,True,False
881,False,False,False,False
5691,False,False,False,True
2234,False,False,True,True
6292,False,False,False,False
5422,False,False,False,False
3470,True,True,True,True
1273,False,False,False,True
7068,False,True,False,True
360,False,False,True,True
2874,True,False,False,False
5562,False,True,True,True
3571,True,False,True,True
4793,False,False,False,False
2584,False,False,True,False
1450,True,False,False,False
3302,True,False,False,False
1005,False,False,False,False
2599,False,False,False,False
5328,False,False,False,True
2037,False,False,False,False
5868,False,False,False,False
6343,True,True,True,True
6807,False,True,False,True
169,True,True,False,True
7476,False,False,False,False
99,True,False,False,False
3519,False,True,True,True
5680,False,False,False,False
4941,False,False,False,True
7336,True,True,True,True
4720,False,False,False,True
5028,False,False,False,False
1521,True,False,True,False
3436,False,False,False,False
2632,False,False,False,False
2424,True,False,False,False
4362,True,True,True,True
4797,False,False,False,False
3092,False,False,False,False
5554,False,True,False,False
3943,False,True,True,True
7456,False,False,False,False
878,False,True,False,False
619,True,False,True,True
4444,False,False,False,False
2372,True,False,True,False
5310,True,True,True,True
5995,False,False,False,False
5339,False,False,False,False
5743,False,False,False,False
918,False,False,False,True
1374,True,True,False,True
7466,False,True,False,True
232,False,False,True,False
3204,False,False,True,False
1023,False,False,False,False
3140,False,True,True,True
117,False,False,False,False
7200,False,False,False,False
6565,True,False,False,False
5943,False,False,False,True
4148,False,False,False,False
2414,True,True,False,False
2324,False,False,False,False
4368,True,False,True,True
5596,True,False,False,False
3890,False,False,True,True
6518,False,False,False,False
3398,False,False,False,True
4657,False,False,False,False
